Source,Target
383498,209112
383498,49521
383498,272
383498,10138
383498,155
402900,949
402900,1572
402900,75656
402900,259316
402900,489931
466282,43923
466282,449176
466282,308369
466282,9880
466282,12689
462919,64255
462919,621
462919,2976
462919,224141
462919,382625
363088,141052
363088,49521
363088,209112
363088,99861
363088,297762
454983,449176
454983,101299
454983,49022
454983,11121
454983,84892
293660,141052
293660,1924
293660,1452
293660,8536
293660,9531
455207,466282
455207,454983
455207,222935
455207,8966
455207,9880
487558,324786
487558,1883
487558,769
487558,424
487558,489931
283995,299536
283995,1924
283995,1452
283995,8536
283995,9531
150540,812
150540,260513
150540,12092
150540,11360
150540,2300
269149,278927
269149,338970
269149,101299
269149,346364
194662,98566
194662,49026
194662,14
194662,272
194662,155
455980,460019
455980,353486
455980,470229
455980,4922
455980,445571
474335,449749
474335,2300
474335,773
474335,1696
474335,340485
177572,281957
177572,479
177572,73
177572,2048
177572,238636
354912,4011
354912,745
354912,6477
354912,525
257344,251516
257344,333339
257344,353486
257344,603
257344,604
460668,2062
460668,694
460668,745
460668,433
460668,453
291805,467938
291805,281957
291805,260346
291805,241554
291805,75656
455656,19840
455656,10625
455656,272693
455656,37725
455656,2105
446894,8989
446894,487283
446894,413644
446894,353997
446894,4398
458423,224141
458423,11224
458423,10020
458423,621
458423,812
399174,263109
399174,387592
399174,531
399174,532
399174,530
400155,7131
400155,277
400155,49017
400155,76492
400155,24021
207703,49521
207703,99861
207703,102899
207703,272
207703,209112
449176,398818
449176,376867
449176,26933
449176,26371
449176,511785
420814,769
420814,424
420814,316029
420814,324786
420814,425336
98566,272
98566,68721
98566,209112
98566,1930
98566,604
270946,10527
270946,489929
270946,10140
270946,49013
270946,62764
93456,49519
93456,207703
93456,116711
93456,73
608,607
608,601
608,395
608,840
608,817
437557,376660
437557,391713
437557,14
353486,333339
353486,314095
353486,131631
353486,70160
353486,328387
13053,9325
13053,927
13053,11886
13053,10948
13053,2698
14160,9479
14160,3933
14160,326359
14160,32085
14160,145316
20352,342473
20352,93456
20352,20497
20352,15739
20352,11774
585,62211
585,1124
585,275
340022,562
340022,1571
340022,1572
340022,2320
340022,8961
118,252
118,10830
118,9880
118,336843
118,12155
214756,250546
214756,72105
214756,11249
214756,11551
2062,6283
2062,10009
2062,10137
2062,308531
2062,295964
920,128
920,11006
920,62211
808,10882
808,809
808,10020
808,150689
310,604
310,311
310,9946
310,145
310,6557
62177,109445
62177,10882
62177,10144
62177,10895
159824,76492
159824,9479
159824,129
159824,671
159824,672
313369,525
313369,705
313369,630
72105,862
72105,24420
72105,44564
72105,50544
72105,13523
425,49519
425,675
425,10567
370567,1934
370567,91745
370567,10705
370567,10688
370567,297708
59861,52449
59861,14069
59861,13374
59861,400928
59861,18148
335797,9986
335797,258509
335797,9836
335797,9598
350,466282
350,454983
350,222935
350,8966
350,9880
271718,510
271718,8363
271718,376659
271718,195589
271718,179144
166426,1865
166426,22
166426,58
166426,285
166426,71805
254470,354912
254470,786
254470,6477
254470,525
950,425
950,435
950,7840
950,387893
10193,862
10193,72105
10193,214756
10193,10895
10193,38757
224141,10882
224141,808
224141,150689
224141,321612
224141,11224
9502,278927
9502,604
9502,24
9502,605
127380,12
127380,920
127380,9479
127380,10865
18785,10029
18785,627
18785,45243
18785,429733
18785,20289
181533,863
181533,122
181533,8916
181533,12437
445571,275
445571,984
445571,473149
445571,270487
445571,264644
2976,313369
2976,6477
2976,630
2976,409447
2976,525
507562,81
507562,129
507562,372058
507562,476292
507562,128
387592,425
387592,49519
387592,86130
387592,263109
82702,10191
82702,425
82702,111
82702,10054
194,8195
194,707
194,907
194,116711
194,49519
9880,449176
9880,50479
9880,272693
9880,308369
9880,286565
339846,228165
339846,11836
339846,205775
339846,2756
